"city","country","region","host","telegram","CITY-REGISTARTION-LINK","Party-Drive-Link","coordinates"
"Rosario ","Argentina","South America","https://x.com/Manurina","https://t.me/+ktLf9LALBGZlYjU5","https://app.unlock-protocol.com/event/global-pizza-party-rosario-1","https://drive.google.com/drive/folders/1-uDicWuRByvKiUUwdAyuh58WHWgAGt6D?usp=drive_link","[-60.6930416,-32.9587022]"
"Gyumri","Armenia","Middle East","","https://t.me/+pujGWaWqnEI2NGYx","https://app.unlock-protocol.com/event/global-pizza-party-gyumri-8","","[43.8464971,40.7929026]"
"Vanadzor","Armenia","Middle East","","https://t.me/+vgsVb0Gw_Bs0Mjdh","https://app.unlock-protocol.com/event/global-pizza-party-vanadzor-101","","[44.4970268,40.807399]"
"Yerevan","Armenia","Middle East","https://t.me/mandarina_meta","https://t.me/+TBASb-ziPXBiZjAy","https://app.unlock-protocol.com/event/global-pizza-party-yerevan-3","","[44.515209,40.1872023]"
"Adelaide","Australia","Oceania","","https://t.me/+GDtIMwgyoZ5mOTUx","","","[138.6007456,-34.9284989]"
"Brisbane","Australia","Oceania","","https://t.me/+MUqLxsm0M4s4ZDkx","https://app.unlock-protocol.com/event/global-pizza-party-brisbane-2","","[153.0260341,-27.4704528]"
"Gold Coast (Queensland)","Australia","Oceania","","https://t.me/+3ZfOj2tI3NowMjFh","","","[153.380936,-27.9769248]"
"Melbourne","Australia","Oceania","https://t.me/GT_Sewell","https://t.me/+VMUXCL1IsntlMjc5","https://app.unlock-protocol.com/event/global-pizza-party-melbourne","https://drive.google.com/drive/folders/1kuGiBglP40fXWm7prhIouJM2pXS4dZYM?usp=share_link","[144.9630576,-37.8136276]"
"Perth","Australia","Oceania","https://t.me/Callan333","https://t.me/+jbMQUJtjAG0yMDY5","","","[115.8616783,-31.9513993]"
"Sydney","Australia","Oceania","@mustbesimo + https://t.me/amanda_t_a","https://t.me/+j_xPt-6TXgQ0NmRh","https://app.unlock-protocol.com/event/bitcoin-pizza-day-sydney","https://drive.google.com/drive/folders/1IyHOUTdsM36apUwiBqdyY_HYi7FJm-7H?usp=share_link","[151.2057136,-33.8727409]"
"Innsbruck","Austria","Western Europe","https://t.me/carlosjmelgar","https://t.me/+mE-D2SOrAps1M2E5","","https://drive.google.com/drive/folders/1iZVqTV60DVGY2nzOoQaFInJySjQFNQEb?usp=share_link","[11.3910349,47.2675322]"
"Linz","Austria","Western Europe","","https://t.me/+oo5s3q_J5Hc5ZGMx","","","[14.285918,48.3069096]"
"Vienna","Austria","Western Europe","@GeorgBrameshuber","https://t.me/+Z8xFwfPs8MxkZjNh","https://app.unlock-protocol.com/event/global-pizza-party-vienna","https://drive.google.com/drive/folders/1uvJM2ddRnXtLCy0z5TvkN_rZbcG7Uvca?usp=share_link","[16.3713095,48.2080696]"
"Nassau","Bahamas","North America","","https://t.me/+4HAbUBUVpMY1ZTYx","","","[-77.3503609,25.0443312]"
"Dhaka","Bangladesh","Asia","","https://t.me/+bH7zVshRZB9iYWEx","","","[90.4152376,23.804093]"
"Antwerp","Belgium","Western Europe","@AMERICANxRADASS","https://t.me/+Ce_3l8rwPfViY2Qx","https://app.unlock-protocol.com/event/global-pizza-party-antwerp","https://drive.google.com/drive/folders/1KkhoBqlX_ynzVS0S92wIViiHQgp8qRjy?usp=sharing","[4.4149903,51.2199302]"
"Bruges","Belgium","Western Europe","","https://t.me/+IWXHcddW5GI5Y2Ex","","","[3.2250586,51.2084508]"
"Brussels","Belgium","Western Europe"," @MRN_S ","https://t.me/+18lGeHKKqiw4ZGJh","https://app.unlock-protocol.com/event/global-pizza-party-brussels-7","","[4.3802052,50.8260453]"
"Mechelen","Belgium","Western Europe","https://t.me/exwhyzee0","https://t.me/+ZjQb1HSSQxwxMjJk","https://app.unlock-protocol.com/event/global-pizza-party-mechelen-1","","[4.4793443,51.0279827]"
"Belize City","Belize","","","https://t.me/+79hCpu3tacA5NGMx","https://app.unlock-protocol.com/event/global-pizza-party-belize-city-10","","[-88.1962133,17.5045661]"
"Calavi","Benin","Africa","","https://t.me/+NfSwNeX1R2Y1Yzdh","https://app.unlock-protocol.com/event/global-pizza-party-calavi","","[2.3468195,6.4503024]"
"Thimphu","Bhutan","Asia","","https://t.me/+7ws-r97knwpiNmY5","","","[89.6386108,27.471586]"
"Cochabamba","Bolivia","South America","https://twitter.com/FavioMontealeg1","https://t.me/+Vqhstej8FqQyMjIx","https://app.unlock-protocol.com/event/global-pizza-party-cochabamba-2025-3","https://drive.google.com/drive/folders/12ezUU0AgARr57ZHUesQhF5Gom-vwpIeC?usp=sharing","[-66.1595813,-17.3820091]"
"La Paz","Bolivia","South America","https://x.com/Trin_D3","https://t.me/+tiNxBYnwRx83MDIx","https://app.unlock-protocol.com/event/global-pizza-party-la-paz","https://drive.google.com/drive/folders/1Pp-EHYLOSlMZ0gAcGAIOiTrwaHaqbY_h?usp=drive_link","[-68.1212091,-16.494359]"
"Mostar","Bosnia","Eastern Europe","https://t.me/sanjindumisic","https://t.me/+UdDKCH4OpTg1NDIx","","","[17.8077578,43.3437748]"
"Francistown","Botswana","Africa","https://t.me/Alytos","https://t.me/+KLqD4B7ryLAyZjA0","https://app.unlock-protocol.com/event/francistown-pizza-party","","[27.5143603,-21.1661005]"
"Gaborone","Botswana","Africa","","https://t.me/+ymH9l-lc8oNlYmUx","https://app.unlock-protocol.com/event/global-pizza-party-gaborone","https://drive.google.com/drive/folders/1eGI6NjtaU8bTOzmUUGH0keL4Tdn6YaLn?usp=sharing","[25.9077037,-24.6580003]"
"Belo Horizonte","Brazil","South America","https://x.com/verbersouza","https://t.me/+MBnpRab-Wbw2MWI5","https://app.unlock-protocol.com/event/global-pizza-party-belo-horizonte-br-1","https://drive.google.com/drive/folders/1EidohvnoLkn5stGVxMWMsufnyXCrdTLZ?usp=drive_link","[-43.9386685,-19.919052]"
"Brasilia","Brazil","South America","https://x.com/mrtechnocoins","https://t.me/+wGJjX7piV4gzM2Nh","https://app.unlock-protocol.com/event/global-pizza-party-brasilia","https://drive.google.com/drive/folders/1jzZkO6c5fDbH-frsjG2J4ZV_175n6eNI?usp=drive_link","[-47.8918874,-15.7975154]"
"Campinas","Brazil","South America","","","https://app.unlock-protocol.com/event/global-pizza-party-campinas","","[-47.0613327,-22.9050824]"
"Curitiba","Brazil","South America","https://x.com/RahGoldman","https://t.me/+TuwveySkWm4xYTgx","https://app.unlock-protocol.com/event/global-pizza-party-curitiba","https://drive.google.com/drive/folders/1-ChM5Q7WxVgIfPtqrdidEdO0uks7l78b?usp=drive_link","[-49.2651984,-25.4268985]"
"Florianopolis","Brazil","South America","https://x.com/mrtechnocoins","https://t.me/+XEDeLsqPBZllYzUx","https://app.unlock-protocol.com/event/global-pizza-party-floripa","https://drive.google.com/drive/folders/1aLa6GJq9IadsFritFlUW5VXcUIFu6oIF?usp=drive_link","[-48.5468118,-27.5968578]"
"Fortaleza","Brazil","South America","https://x.com/IpizzaKush","https://t.me/+kuccroQVpL05Yzgx","https://app.unlock-protocol.com/event/global-pizza-party-fortaleza-br","https://drive.google.com/drive/folders/1txcCm_TMnja_Fn4gRfyw0CV3i3rYQ_YH?usp=drive_link","[-38.5270134,-3.7327203]"
"Macaé","Brazil","South America","https://x.com/preciousbitchb","https://t.me/+jNq-cQiSFZ43OWQ5","https://app.unlock-protocol.com/event/global-pizza-party-maca-br-3","https://drive.google.com/drive/folders/1fRUuylgM_vkU4A2PsZ5gtuyxXG19ftQa?usp=drive_link","[-41.7827578,-22.3837126]"
"Natal","Brazil","South America"," https://x.com/RhastaJr_","https://t.me/+_vMAWwbDaEZhYTRh","https://app.unlock-protocol.com/event/global-pizza-party-natal-br-1","https://drive.google.com/drive/folders/1rPP_lN3gQiLRfOHyZkMdIQGprkmHsQFS?usp=drive_link","[-35.1999708,-5.7841695]"
"Porto Alegre","Brazil","South America","https://x.com/mrtechnocoins","https://t.me/+RhvB_7_MmjZmOWMx","https://app.unlock-protocol.com/event/global-pizza-party-porto-alegre","https://drive.google.com/drive/folders/1BWl70KFPT0XfCE-0U_uPZ-CvTkDkTKVh?usp=drive_link","[-51.2089887,-30.0368176]"
"Rio Claro","Brazil","South America","@growecosystems","https://t.me/+8DE9E5TpXio0ZjJh","https://app.unlock-protocol.com/event/global-pizza-party-rio-claro-1","","[-47.5596215,-22.4107652]"
"Rio de Janeiro","Brazil","South America","https://x.com/mrtechnocoins","https://t.me/+Khe94ae94OMxOTdh","https://app.unlock-protocol.com/event/global-pizza-party-rio-crypto-hub","https://drive.google.com/drive/folders/1On-KUMUurn-IA1G8SZSU1UpBFq1Urcd8?usp=drive_link","[-43.1728965,-22.9068467]"
"Rocinha","Brazil","South America","","","","","[-43.2480087,-22.987941]"
"Salvador Bahia","Brazil","South America","https://x.com/mrtechnocoins","https://t.me/+JRFX1SxqVTYzZDNh","https://app.unlock-protocol.com/event/global-pizza-party-bahia-crypto-hub","https://drive.google.com/drive/folders/1j7AExIRvcsz8jarXvc7knSxMq7Rj79iC?usp=drive_link","[-38.501648,-12.9777334]"
"Sao Paulo","Brazil","South America","https://x.com/deleide41722","https://t.me/+Q_BUhWfjQdtkOGMx","https://app.unlock-protocol.com/event/global-pizza-party-so-paulo","https://drive.google.com/drive/folders/12Y8V1lY18in90tLrqGay4OkwFER2rKhN?usp=drive_link","[-46.6395571,-23.5557714]"
"Búzios","Brazil","South America","https://x.com/dayan_ricky","https://t.me/+WlqFgKPYcjJhMTFh","https://app.unlock-protocol.com/event/global-pizza-party-buzios-brazil","https://drive.google.com/drive/folders/1WEDDZyVcu1x283zyUchOUy4kXUvhRY4_?usp=sharing","[-41.8833455,-22.7553281]"
"Sofia","Bulgaria","Eastern Europe","https://t.me/ruscash","https://t.me/+BzYbFevfR9k0NjVh","https://app.unlock-protocol.com/event/global-pizza-party-sofia-2","","[23.3218675,42.6977082]"
"Ouagadougou","Burkina Faso","Africa","","https://t.me/+oFnFdTPoiu5mYmU5","https://app.unlock-protocol.com/event/global-pizza-party-ouagadougou-12","","[-1.5196603,12.3714277]"
"Bujumbura","Burundi","Africa","","https://t.me/+Rggy1kNGygg5Mzdh","","","[29.3598782,-3.361378]"
"Phnom Penh","Cambodia","Asia","https://t.me/cmbarrant","https://t.me/+Pan9PiYoPv82M2Zh","https://app.unlock-protocol.com/event/global-pizza-party-phnom-penh","","[104.9282099,11.5563738]"
"Kelowna","Canada","North America","","https://t.me/+y3JXryPBr_RkODBh","https://app.unlock-protocol.com/event/global-pizza-party-kelowna","","[-119.4965917,49.8863235]"
"Calgary","Canada Alberta","North America","https://t.me/travelingsomm","https://t.me/+UxccHo5CQTxmNjJh","https://app.unlock-protocol.com/event/global-pizza-party-calgary","","[-114.0718831,51.0447331]"
"Edmonton","Canada Alberta","North America","","https://t.me/+LJ0EsIyEwjs5MjBh","https://app.unlock-protocol.com/event/global-pizza-party-2025-edmonton","","[-113.4937355,53.5461663]"
"Vancouver","Canada British Columbia","North America","https://t.me/AllCityBAYC","https://t.me/+1h_LYj6IrOk0NmVh","https://app.unlock-protocol.com/event/global-pizza-party-vancouver-1","https://drive.google.com/drive/folders/16MNoIMXUmq8KNFQ5qnSVAHVs1za5BLYm?usp=share_link","[-123.1207375,49.2827291]"
"Victoria","Canada British Columbia","North America","","https://t.me/+KF_9qDyWWsszMGIx","","","[-123.3656444,48.4284207]"
"Winnipeg","Canada Manitoba","North America","","https://t.me/+RvDmLMcR9KlhYTEx","","","[-97.1385145,49.8954221]"
"Labrador","Canada Newfoundland","","","","","","[-61.7387586,54.2730918]"
"Halifax","Canada Nova Scotia","North America","","https://t.me/+fLOZ2z7q19xmOWNh","https://app.unlock-protocol.com/event/btc-pizza-day-halifax","","[-63.1005273,44.8857087]"
"Hamilton","Canada Ontario","North America","","https://t.me/+gJPQnJFeGK1jOWM5","","","[-79.8711024,43.2557206]"
"Ottawa","Canada Ontario","North America","https://t.me/JPEG_TAY","https://t.me/+2h3lm4H0YZ1lMTRh","https://app.unlock-protocol.com/event/global-pizza-party-ottawa-2025","","[-75.7003397,45.4200572]"
"Toronto","Canada Ontario","North America","https://t.me/Antoineph","https://t.me/+kk5ViBwxPnIzMDkx","https://app.unlock-protocol.com/event/2025-global-pizza-party-toronto-1","https://drive.google.com/drive/folders/1hMtvfQBc0H-9s2G0Np4qcU3i1dcjIlu5?usp=share_link","[-79.3831843,43.653226]"
"Waterloo","Canada Ontario","North America","","https://t.me/+r_9imDlPNhU2YmJh","https://app.unlock-protocol.com/event/global-pizza-party-waterloo","","[-80.5204096,43.4642578]"
"Montreal","Canada Quebec","North America","https://t.me/seanstapley","https://t.me/+g0YK4rU95SRiNGMx","https://app.unlock-protocol.com/event/bitcoin-pizza-day-2025-in-montral","","[-73.5673919,45.5018869]"
"Saskatoon","Canada Saskatchewan","North America","","https://t.me/+LjPOB159sSthNDNh","https://app.unlock-protocol.com/event/global-pizza-party-saskatoon-1","","[-106.6701577,52.157902]"
"Cayman Islands","Cayman Islands","Central America","https://t.me/addigator","https://t.me/+MvRD2I72Vt82YzEx","https://app.unlock-protocol.com/event/global-pizza-party-2025-cayman-islands-20","","[-81.2546,19.3133]"
"Coyaique ","Chile","South America","https://x.com/bvdani_el","","","","[-72.0678986,-45.5729842]"
"Puerto Varas","Chile","South America","","https://t.me/+8OCKqharNkVkMDRh","","","[-72.9847342,-41.3172309]"
"Maullin","Chile","South America","","https://t.me/+kkaBTQya8YVmNTYx","https://app.unlock-protocol.com/event/global-pizza-party-maulln","https://drive.google.com/drive/folders/1SBqS1FJgKqxQaOrZGLeAfH4AK24XBybw?usp=drive_link","[-73.6016737,-41.6183881]"
"Santiago","Chile","South America","https://twitter.com/MentaJengibre2","https://t.me/+oAq1WtYo2Wg3YTgx","https://app.unlock-protocol.com/event/global-pizza-party-santiago-5","https://drive.google.com/drive/folders/1dgGDN55hE58yQapw9bj8vnLqCnXyIHkD?usp=drive_link","[-70.6692655,-33.4488897]"
"Beijing","China","Asia","","https://t.me/+NhdAVPA34GY3YWJh","","","[116.407395,39.904211]"
"Changsha","China","Asia","https://t.me/Ham_trader","https://t.me/+6734pXkmIYZkMzhi","","","[112.93886,28.2277799]"
"Chengdu","China","Asia","","https://t.me/+UG4LYZ0OouZkODc5","https://app.unlock-protocol.com/event/global-pizza-party-chengdu","https://drive.google.com/drive/folders/1zWjWkAjtAbKEKjZXHZdR_mcsEd5Wk_gv?usp=sharing","[104.0665099,30.5722599]"
"Chongqing","China","Asia","","https://t.me/+3dG3-6FQeb00ZDY5","https://app.unlock-protocol.com/event/bitcoin-pizza-day-chongqing-2025","","[106.5511838,29.5656843]"
"Dali","China","Asia","https://x.com/MaciejKoterba","https://t.me/+xg1rEtf7m7o3Y2Ix","https://app.unlock-protocol.com/event/global-pizza-party-dali","","[100.26764,25.6064799]"
"Guangxi","China","Asia","","","","","[108.32754,22.8152099]"
"Guangzhou","China","Asia","","https://t.me/+eoObOkazHvc2ODVh","https://app.unlock-protocol.com/event/global-pizza-party-guangzhou-2","","[113.26436,23.1290799]"
"Hangzhou","China","Asia","","https://t.me/+Va-EpaETUd5jNDYx","https://app.unlock-protocol.com/event/global-pizza-party-2025-hangzhou-city","","[120.15515,30.2741499]"
"Hong Kong","China","Asia","https://t.me/catapultBZ","https://t.me/+ArdjT-D2uWw3NmZh","https://app.unlock-protocol.com/event/global-pizza-party-hong-kong","https://drive.google.com/drive/folders/1u5Yp0TOGS6maS_g76CEQgyuZRaPK2xtA?usp=share_link","[114.1693611,22.3193039]"
"Macao","China","Asia","","https://t.me/+TFGd3-QXRnMxMmUx","","https://drive.google.com/drive/folders/1P4tVQepVwPpq0LP_U3FCShqkebxPOPMV?usp=share_link","[113.543873,22.198745]"
"Nanjing","China","Asia","","","","","[118.79647,32.0583799]"
"Ningbo","China","Asia","","https://t.me/+n1e-YBy88vIzZGZh","","","[121.54399,29.868336]"
"Shanghai","China","Asia","","https://t.me/+BHjrUZdqcAcxZjhh","https://app.unlock-protocol.com/event/global-pizza-party-shanghai-1","https://drive.google.com/drive/folders/1mOXEodkJGJjV-BXik4Uk1ljiRwzXXiW1?usp=share_link","[121.473701,31.230416]"
"Shenzhen","China","Asia","","https://t.me/+PwBxC85_y8tjYmUx","https://app.unlock-protocol.com/event/pizza-dao-x-offchain-shenzhen-mixer-6","","[114.05956,22.5428599]"
"Yiwu","China","Asia","","https://t.me/+9RWmbYBBljQzOWMx","","","[120.0746799,29.3055799]"
"Suzhou","China ","Asia","","https://t.me/+mJwcuPAgdkJhNTMx","","","[120.58319,31.2983399]"
"Zhengzhou","China ","Asia","","","","","[113.62493,34.7472499]"
"Arauca","Colombia","South America","","https://chat.whatsapp.com/JA6vQCP6uCaIj0Gv2kiU1A","","","[-71.0022311,6.547306]"
"Bogota","Colombia","South America","https://warpcast.com/danib88","https://t.me/+OsL4g8b52KBiOWIx","https://app.unlock-protocol.com/event/global-pizza-party-bogot-1","https://drive.google.com/drive/folders/1EqIxGnwA3GbjFQ8Zf_5UIrCrjNt5r1q3?usp=drive_link","[-74.072092,4.7109886]"
"Cali","Colombia","South America","https://twitter.com/Ningunartista","https://t.me/+5jv65SAxeu5jYzhh","https://app.unlock-protocol.com/event/global-pizza-party-cali ","https://drive.google.com/drive/folders/10-6E7r-4Lt9wyME7Qdcx4EOFbsf3XQTI?usp=drive_link","[-76.5319854,3.4516467]"
"Cartagena de Indias","Colombia","South America","https://x.com/CryptoZyzz_eth","https://t.me/+KKC3CCLGYX03Y2M5","https://app.unlock-protocol.com/event/global-pizza-party-cartagena ","https://drive.google.com/drive/folders/1IIVbgzyn6IO6eoQ0VLsEKapl_n3srF-r?usp=drive_link","[-75.4832311,10.3932277]"
"Mayapo","Colombia","South America","","https://chat.whatsapp.com/JA6vQCP6uCaIj0Gv2kiU1A","","","[-72.77661,11.64722]"
"Medellin","Colombia","South America","https://x.com/platohedro","https://t.me/+CcALe_aqnew2OTJh","https://app.unlock-protocol.com/event/global-pizza-party-medellin ","https://drive.google.com/drive/folders/1l9GBC6uPDG-vN6R_ljPQsid_vpQ34Wqo?usp=drive_link","[-75.5658153,6.2476376]"
"Uvita","Costa  Rica","Central America","","https://t.me/+_ie1-wZwRyRiMGIx","","","[-83.7365175,9.1673781]"
"San Jose","Costa Rica","Central America","","https://t.me/+BtFO1PRVtTs5Yjkx","","","[-84.0907246,9.9280694]"
"Tamarindo","Costa Rica","Central America","https://x.com/Ape0rDie"," https://chat.whatsapp.com/H3K0ICNhGMhC6HPOE83S1l","https://app.unlock-protocol.com/event/global-pizza-party-tamarindo ","https://drive.google.com/drive/folders/1cJKkD56DmGqPr0pLpD5n7bFkda7ZNc26?usp=drive_link","[-85.8411525,10.2975721]"
"Split","Croatia","Eastern Europe","","https://t.me/+-ydn-Koboz5mZmY5","https://app.unlock-protocol.com/event/global-pizza-party-split-1","","[16.4435148,43.5147118]"
"Zagreb","Croatia","Eastern Europe","@okanagur","https://t.me/+4f4f6bi5ReI4MGUx","https://app.unlock-protocol.com/event/global-pizza-party-zagreb-2025-1","","[15.981919,45.8150108]"
"La Havana","Cuba ","Central America","https://x.com/hivecuba","https://t.me/+V51JNP8ZAcFiM2Mx","","https://drive.google.com/drive/folders/19GXpvVWnL-EqGn5ZzRa1EsFkAXFlmmPv?usp=drive_link","[-82.3585654,23.133865]"
"Limassol","Cyprus","Middle East","","https://t.me/+nt-7Y0JFQysyM2Nh","https://app.unlock-protocol.com/event/global-pizza-party-limassol","https://drive.google.com/drive/folders/13dCzbKm7Oielq6fd1I_J42KYObt_w-TB?usp=share_link","[33.0413055,34.6786322]"
"Brno","Czech Republic","Eastern Europe","","https://t.me/+1zMGBlbOn0NmMWEx","https://app.unlock-protocol.com/event/global-pizza-party-brno","","[16.6068371,49.1950602]"
"Prague","Czech Republic","Eastern Europe","https://t.me/Me_113kw","https://t.me/+HHvYSQ5Sd9QxMmRh","https://app.unlock-protocol.com/event/global-pizza-party-5th-bitcoin-pizza-day-prague","https://drive.google.com/drive/folders/1jpvnFkkTz4Ldsm4AMPOz9cuWOQwpBVYf?usp=share_link","[14.4378005,50.0755381]"
"Olomouc","Czech Republic","Western Europe","","https://t.me/+5sGq4xvrKlhmMTFk","https://app.unlock-protocol.com/event/global-pizza-party-olomouc","","[17.2508787,49.593778]"
"Jihlava","Czech Republic ","Eastern Europe","Oliver Lowe","","","","[15.5870415,49.3983782]"
"Aarhus","Denmark","Western Europe","","https://t.me/+YfOriak4O0A1M2Fh","","","[10.203921,56.162939]"
"Copenhagen","Denmark","Western Europe","","https://t.me/+LG9DLtgq2nxlMmQx","https://app.unlock-protocol.com/event/global-pizza-party-34","","[12.5683371,55.6760968]"
"Kinshasa","DRC","Africa","https://t.me/gkimbwala","https://t.me/+--0ghlqnmqNlZGMx","","https://drive.google.com/drive/folders/1SoLqTqQejRpp1-Lrl3q4PjFZelZf8gQf?usp=share_link","[15.310528,-4.3032527]"
"Nomad","Earth","Metaverse","","https://t.me/+LWk-fjrSPisyY2Yx","","","[]"
"Guayaquil","Ecuador","South America","https://x.com/carlos_israelj","https://t.me/+Y0aZCIfpRK83NTdh","https://app.unlock-protocol.com/event/global-pizza-party-guayaquil-2025 ","https://drive.google.com/drive/folders/1LnwRm6EMuYtMWYBAIsXFQjmFdCTVQFFP?usp=sharing","[-79.8899031,-2.1891341]"
"Quito","Ecuador","South America","https://x.com/padimaster","https://t.me/+a4wbKve3DlcxMThh","https://app.unlock-protocol.com/event/global-pizza-party-quito-2025 ","https://drive.google.com/drive/folders/1KZurlDu6TQPF2Gi_o1zVur3l6Dwi1xAY?usp=drive_link","[-78.5141064,-0.2232523]"
"Cuenca","Ecuador","South America","https://x.com/Gelois_0","https://t.me/+ah_n4HHko1k5MmJh","https://app.unlock-protocol.com/event/global-pizza-party-cuenca-2025-3 ","https://drive.google.com/drive/folders/14bFDSAmaMEVRUjZmJx4rb_IsaUu8CIVz?usp=drive_link","[-79.0058965,-2.9001285]"
"Portoviejo","Ecuador","South America","https://x.com/elizabeths_14","https://t.me/+HQXoPag4mUU1YzJh","https://app.unlock-protocol.com/event/global-pizza-party-portoviejo","https://drive.google.com/drive/folders/1g40kjLQ87XI-9F0O7BgzZ0ygoxJTUVz-?usp=drive_link","[-80.4516013,-1.0544602]"
"Cairo","Egypt","Africa","https://t.me/EmanHerawy","https://t.me/+Uuex2EX2rxE0ODdh","https://app.unlock-protocol.com/event/global-pizza-party-cairo","https://drive.google.com/drive/folders/1ZtJiQhg62XLNRr7Pn3hmm8Lo0VcR7QXx?usp=sharing","[31.2357116,30.0444196]"
"Alexandria","Egypt","Middle East","","https://t.me/+pUrucfrCEWdlMzRh","https://app.unlock-protocol.com/event/global-pizza-party-alexandria","","[29.9187387,31.2000924]"
"San Salvador","El Salvador","Central America","https://x.com/AjpuMonica","https://t.me/gppelsalvador","https://app.unlock-protocol.com/event/global-pizza-party-san-salvador-4/","https://drive.google.com/drive/folders/1mQrU76adnV2qvNf0ld1hDGdT82V2yY_k?usp=sharing","[-89.1915341,13.6980638]"
"Tallinn","Estonia","Eastern Europe","","https://t.me/+uNchwPHO7iQ0ZjAx","https://app.unlock-protocol.com/event/global-pizza-party-2025-tallinn","","[24.7535746,59.4369608]"
"Addis Ababa","Ethiopia","Africa","https://t.me/Nathansab","https://t.me/+ngZO1Vye-Fw4OWYx","https://app.unlock-protocol.com/event/bitcoin-pizza-day-party-addis-ababa","https://drive.google.com/drive/folders/1U9etNnrnHbHJsxogO7hxYWyW6G4DM0HH?usp=share_link","[38.7524635,9.0191936]"
"Helsinki","Finland","Western Europe","https://t.me/MartinWman","https://t.me/+e8GY4JBLtM4zMjI0","https://app.unlock-protocol.com/event/global-pizza-party-helsinki-1","","[24.938379,60.1698557]"
"Oulu","Finland","Western Europe","","https://t.me/+Ly5wslXZN9I5ZGQx","","","[25.4650773,65.0120888]"
"Bordeaux","France","Western Europe","","https://t.me/+o-Ol66rgWnEwYWQx","https://app.unlock-protocol.com/event/global-pizza-party-bordeaux-5","","[-0.5810938,44.8416106]"
"Cannes","France","Western Europe","https://t.me/DrJamilahMerrick","https://t.me/+kiFuHN8XzPAzNWIx","https://app.unlock-protocol.com/event/global-pizza-party-cannes","","[7.0170217,43.5539499]"
"Montpellier","France","Western Europe","Noxe","https://t.me/+xgRATrNsFxJiZTUx","","https://drive.google.com/drive/folders/1inLKJuRI3us6YjPekRsLrk2s44D7DTi7?usp=share_link","[3.8761323,43.6108535]"
"Nice","France","Western Europe","Noxe","","","https://drive.google.com/drive/folders/1inLKJuRI3us6YjPekRsLrk2s44D7DTi7?usp=share_link","[7.2619532,43.7101728]"
